ACC nummer,Individnummer,Art,Provlämnare,Fynddatum,År,Kvartal,Månad,Insamlingsmetod,Insamlingskommentar,Minålder,Maxålder,Kön,Längd (cm),Vikt (kg),Späcktjocklek (cm),Provtyper,Cestoder,Nematoder,Hårddelar sparade,Lokal,Ort,Län,Landskap,Area 1,Area 2,Finskt nr,NRM kommentar,Käke i frys,Individkommentar,Fyndplatskommentar,Latitud,Longitud,Uppskattad position,DNA-prov vävnad,DNA-prov mage,DNA-prov tarm,DNA-prov spillning,Parasitbelastning - hakmask,Provdel - colon på burk,Provdel - lever,Provdel - mage,Provdel - muskel,Provdel - späck,Provdel - tarm,Sköts i närheten av fiskeredskap,Tom colon,Tom mage
KS_2024_22,KS_2024_22,knubbsäl,Egen insamling HLAB från svensk jakt,2024-03-12,2024,Q1,03,Jakt,,,,Hona,122.,40.,3,,,0-9,Ja,Bölskären,Strömstad,Västra Götalands län,,,,,,Ja,Uppskattad vikt,Bölskären,58.947618,11.093702,Ja,Ja,,Ja,,,,,Ja,,,Ja,Nej,,
KS_2024_23,KS_2024_23,knubbsäl,Egen insamling HLAB från svensk jakt,2024-03-05,2024,Q1,03,Jakt,,,,Hane,114.,30.,3.5,,,0,Ja,Bölskären,Strömstad,Västra Götalands län,,,,,,Ja,Uppskattad vikt,Bölskären,58.947618,11.093702,Ja,Ja,,Ja,,,,,Ja,,,Ja,Nej,,
KS_2024_28,KS_2024_28,knubbsäl,Egen insamling HLAB från svensk jakt,2024-02-17,2024,Q1,02,Jakt,,,,Hona,142.,70.,6.5,,,0-9,Ja,Bölskären,Strömstad,Västra Götalands län,,,,,,Ja,Uppskattad vikt,Bölskären,58.947618,11.092587,Ja,Ja,,Ja,,,,,Ja,,,Ja,Nej,,
KS_2024_29,KS_2024_29,knubbsäl,Egen insamling HLAB från svensk jakt,2024-02-08,2024,Q1,02,Jakt,,,,Hane,165.,70.,3.5,,,100-199,Ja,Syd Långö,Strömstad,Västra Götalands län,,,,,,Ja,Uppskattad vikt,Syd Långö,58.93451,11.119881,Ja,Ja,,Ja,,,,,Ja,,,Ja,,,
A2014/05335,A2014/05335,knubbsäl,Naturhistoriska Riksmuseet,2014-05-10,2014,Q2,05,Jakt,"Skjuten, ej vid fiskeredskap",2,,Hane,130.,,,,,10-49,Ja,,,Västra Götalands län,,,,,,,"mage, tunntarm, colon på burk.","Skagerrak, koordinater: N 58 32 49,0 E 11 11 13,5(omvandlade till decimalminuter: N 58 32,8166 E 11 11,2250)",58.547,11.1871,Nej,Ja,,Ja,,,,,,,,,,,
A2014/05336,A2014/05336,knubbsäl,Naturhistoriska Riksmuseet,2014-05-10,2014,Q2,05,Jakt,"Skjuten, ej vid fiskeredskap",2,,Hane,129.,,,,,0-9,,,,Västra Götalands län,,,,,,,"mage, tunntarm. Hakmask","Skagerrak, koordinater: N 58 32 49,0 E 11 11 13,5((omvandlade till decimalminuter: N 58 32,8166 E 11 11,2250))",58.547,11.1871,Nej,Ja,,Ja,,Ja,,,,,,,,,
A2014/05337,A2014/05337,knubbsäl,Naturhistoriska Riksmuseet,2014-04-19,2014,Q2,04,Jakt,"Skjuten, ej vid fiskeredskap",15,,Hona,139.,,,,,10-49,Ja,,,Västra Götalands län,,,,,,,"mage, colon","Skagerrak, koordinater: N 58 35 2.5 E 11 10 17.9 (omvandlade till decimalminuter: N 58 35.04 E 11 10.29)",58.584,11.1716,Nej,Ja,,Ja,,,,,,,,,,,
A2014/05407,A2014/05407,knubbsäl,Naturhistoriska Riksmuseet,2014-04-19,2014,Q2,04,Jakt,"Skjuten, ej intill fiskeredskap",10,,Hona,144.,,,,,200-499,Ja,,,Västra Götalands län,,,,,,,"mage, tarm, colon på burk. Blod i magen. 4 hela fiskar (10,5; 10; 10; 9) och 10 fiskar utan huvuden (8 cm).","Skagerrak, koodinater: N 58 35.25 E 11 10.179",58.5875,11.1697,Nej,Ja,,Ja,,,,,,,,,,,
A2014/05409,A2014/05409,knubbsäl,Naturhistoriska Riksmuseet,2014-05-10,2014,Q2,05,Jakt,"Skjuten, ej vid fiskeredskap",7,,Hona,159.,,,,,10-49,Ja,,,Västra Götalands län,,,,,,,"mage, tunntarm, colon på burk.","Skagerrak, koodinater: N 58 32.490 E 11 11.135",58.5415,11.1856,Nej,Ja,,Ja,,,,,,,,,,,
A2014/05457,A2014/05457,knubbsäl,Naturhistoriska Riksmuseet,2014-04-27,2014,Q2,04,Jakt,"Skjuten, ej intill fiskeredskap. Mage, tarm, colon på burk.",6,,Hona,147.,,,,,0-9,Ja,,,Västra Götalands län,,,,,,,,"Styrsö, Strömstad, Skagerack. Koordinater: N 58 54.388 E 11 6.173",58.9065,11.1029,Nej,Ja,,Ja,,Ja,,,,,,,,,
A2014/05459,A2014/05459,knubbsäl,Naturhistoriska Riksmuseet,2014-04-20,2014,Q2,04,Jakt,"Skjuten, ej intill fiskeredskap. Mage, tunntarm",6,,Hona,165.,,,,,0-9,Ja,,,Västra Götalands län,,,,,,,,Skagerack. Koordinater: N 58 40.58 E 11 09.64,58.6763,11.1607,Nej,Ja,,Ja,,Ja,,,,,,,,,
A2014/05462,A2014/05462,knubbsäl,Naturhistoriska Riksmuseet,2014-08-29,2014,Q3,08,Jakt,"Skjuten, ej intill fiskeredskap - Mage, tarm, colon på burk",5,,Hane,138.,,,,,0-9,Ja,,,Västra Götalands län,,,,,,,,"Marstrands området, Kattegatt. Koordinater: N 57 53 E 11 33",57.8833,11.55,Nej,Ja,,Ja,,,,,,,,,,,
A2014/05463,A2014/05463,knubbsäl,Naturhistoriska Riksmuseet,2014-08-29,2014,Q3,08,Jakt,"Skjuten, ej intill fiskeredskap",5,,Hona,123.,,,,,0,Ja,,,Västra Götalands län,,,,,,,"Mage, tunntarm. Hakmask","Marstrands området, Kattegatt. Koordinater: N 57 53 E 11 33",57.8833,11.55,Nej,Ja,,Ja,,Ja,,,,,,,,,
A2012/05215,A2012/05215,knubbsäl,Naturhistoriska Riksmuseet,2011-03-04,2011,Q1,03,Fiske/Bifångst,"Bifångst i fiskeredskap, garn. Ej dietanalys",0,1,,105.,,,,,,,,,,,,,,,,,Utanför Malmö. inga koordinater angivna,55.637299,12.921295,Nej,,,,,,,,,,,,,,
A2012/05278,A2012/05278,knubbsäl,Naturhistoriska Riksmuseet,2011-12-30,2011,Q4,12,Jakt,Skjuten. Torrt material från Annika NRM,7,,,152.,,,,,,,,,Västra Götalands län,,,,,,,,"Musö, Fjällbacka, N 58 38,195 E 11 14,505(position enl de angivna koordinater N 58 40 E 11 17 kan inte stämma, den ligger på land)",58.6366,11.2418,Nej,,,,,,,,Ja,,,Ja,,,
A2012/05294,A2012/05294,knubbsäl,Naturhistoriska Riksmuseet,2011-12-19,2011,Q4,12,Jakt,Skjuten. Torrt material från Annika NRM,5,,,143.,,,,,,,,,Västra Götalands län,,,,,,,,"Trillingarna, Skagerrak. Koordinater: N 58 16.351 E 11 20.239",58.2725,11.3373,Nej,,,,,,,,Ja,,,Ja,,,
A2012/05335,A2012/05335,knubbsäl,Naturhistoriska Riksmuseet,2011-12-19,2011,Q4,12,Jakt,Skjuten. Torrt material från Annika NRM,21,,,155.,,,,,,,,,Västra Götalands län,,,,,,,,"Skagerrak, Brandskär, Lysekil. Koordinater: N 58 17.761 E 11 20.376",58.296,11.3396,Nej,,,,,,,,Ja,,,,,,
A2012/05347,A2012/05347,knubbsäl,Naturhistoriska Riksmuseet,2012-12-22,2012,Q4,12,Jakt,Skjuten. Torrt material från Annika NRM,19,,,165.,,,,,,,,,Västra Götalands län,,,,,,,,"Musö, Fjällbacka, Skagerrak. N 58 38 E 11 14",58.6333,11.2333,Nej,,,,,,,,Ja,,,Ja,,,
A2012/05350,A2012/05350,knubbsäl,Naturhistoriska Riksmuseet,2011-12-30,2011,Q4,12,Jakt,Skjuten. Torrt material från Annika NRM,19,,,157.,,,,,,,,,Västra Götalands län,,,,,,,,"Musö, Fjällbacka, N 58 37 E 11 14",58.6667,11.1667,Nej,,,,,,,,,,,Ja,,,
A2012/05367,A2012/05367,knubbsäl,Naturhistoriska Riksmuseet,2011-10-25,2011,Q4,10,Jakt,Skjuten. Torrt material från Annika NRM,2,,,114.,,,,,,,,,Västra Götalands län,,,,,,,,"Skagerrak, N 58 38 E 11 12",57.5667,11.8833,Nej,,,,,,,,Ja,,,Ja,,,
A2012/05368,A2012/05368,knubbsäl,Naturhistoriska Riksmuseet,2011-11-13,2011,Q4,11,Jakt,Skjuten. Torrt material från Annika NRM,19,,,,,,,,,,,,Västra Götalands län,,,,,,,,"Skagerrak, N 58 38 E 11 12",57.2667,12.05,Nej,,,,,,,,Ja,,,Ja,,,
A2012/05775,A2012/05775,knubbsäl,Naturhistoriska Riksmuseet,2012-03-14,2012,Q1,03,Jakt,Skjuten. Torrt material från Annika NRM,9,,,170.,,,,,,,,,Västra Götalands län,,,,,,,,"Skagerrak, Lövö, N 58 12.223 E 11 30.188",58.2037,11.5015,Nej,,,,,,,,,,,Ja,,,
A2013/05251,A2013/05251,knubbsäl,Naturhistoriska Riksmuseet,2013-05-22,2013,Q2,05,Jakt,Skjuten. Saknar provdelar.,3,,,142.,,,,,,,,,,,,,,,,,"Håskär, Skagerrak, N 58 22.011 E 11 11.302",58.3667,11.1883,Nej,,,,,,,,,,,,,,
A2013/05252,A2013/05252,knubbsäl,Naturhistoriska Riksmuseet,2013-05-22,2013,Q2,05,Jakt,"Skjuten. Mage, tarm",4,,Hane,135.,,,,,50-99,Ja,,,Västra Götalands län,,,,,,,,"Håskär, Skagerrak, N 58 22.011 E 11 11.302",58.3667,11.1883,Nej,Ja,,Ja,,Ja,,,,,,,,,
A2013/05255,A2013/05255,knubbsäl,Naturhistoriska Riksmuseet,2012-08-31,2012,Q3,08,Jakt,Skjuten,9,,Hona,137.,,,,,0,Nej,,,Västra Götalands län,,,,,,,"mage, tunntarm","V om Fjällbacka, Rännedörjan (?), Skagerrak, N 58 37 E 11 12",58.3833,11.2,Nej,Ja,,Ja,,,,,,,,,,Ja,Ja
A2013/05256,A2013/05256,knubbsäl,Naturhistoriska Riksmuseet,2012-08-31,2012,Q3,08,Jakt,"Skjuten. Mage, tarm.",0,1,,87.,,,,,10-49,Ja,,,Västra Götalands län,,,,,,,3 räkor. Lining of colon - white sandgrain sized hard specs througout,"Rännedörj (?), Skagerrak, N 58 37 E 11 12",58.3833,11.2,Nej,Ja,,Ja,,Ja,,,,,,,,,
A2013/05257,A2013/05257,knubbsäl,Naturhistoriska Riksmuseet,2013-05-03,2013,Q2,05,Jakt,"Skjuten vid ostronkassar. Mage, tarm, colon på burk",6,,Hane,160.,,,,,10-49,Ja,,,Västra Götalands län,,,,,,,,"Skagerrak, N 58 46 E 11 10",58.6333,11.2,Nej,Ja,,Ja,,Ja,,,,,,,,,Ja
A2013/05259,A2013/05259,knubbsäl,Naturhistoriska Riksmuseet,2012-08-31,2012,Q3,08,Jakt,Skjuten. Torrt material från Annika NRM,1,,,112.,,,,,,,,,Västra Götalands län,,,,,,,,"V om Fjällbacka, Rännedörj, Skagerrak, N 58 37 E 11 12",58.6167,11.2,Nej,,,,,,,,Ja,,,Ja,,,
A2013/05262,A2013/05262,knubbsäl,Naturhistoriska Riksmuseet,2012-10-01,2012,Q4,10,Jakt,Skjuten. Saknar provdelar,1,,,118.,,,,,,,,,,,,,,,,,"Skagerrak, N om Havstenssund, Ystholmen, N 58 46.376 E 11 09.978",58.3833,11.2,Nej,,,,,,,,,,,,,,
