Sample.ID,Family,sum biomass_not_corrected (g),sum_abundance,LAT,LON,year,month,quarter
A2012/05278,Gadidae,1112.449833,14,58.6366,11.2418,2011,12,4
A2012/05278,Gobiidae,6.88777649,1,58.6366,11.2418,2011,12,4
A2012/05278,Pleuronectidae,2.739721981,1,58.6366,11.2418,2011,12,4
A2012/05294,Gadidae,75.41355635,2,58.2725,11.3373,2011,12,4
A2012/05334,Gadidae,458.5773597,13,58.296,11.3396,2011,12,4
A2012/05334,Gobiidae,54.73904673,1,58.296,11.3396,2011,12,4
A2012/05334,Pleuronectidae,58.913921,2,58.296,11.3396,2011,12,4
A2012/05335,Clupeidae,5.169958916,1,58.296,11.3396,2011,12,4
A2012/05335,Gadidae,3756.437805,28,58.296,11.3396,2011,12,4
A2012/05335,Gobiidae,1064.575593,22,58.296,11.3396,2011,12,4
A2012/05347,Clupeidae,89.17610283,4,58.6333,11.2333,2012,12,4
A2012/05347,Gadidae,367.7544622,14,58.6333,11.2333,2012,12,4
A2012/05347,Gobiidae,1979.657482,270,58.6333,11.2333,2012,12,4
A2012/05350,Clupeidae,20.02934244,1,58.6667,11.1667,2011,12,4
A2012/05350,Gadidae,41.12510486,1,58.6667,11.1667,2011,12,4
A2012/05367,Clupeidae,72.19503956,1,57.5667,11.8833,2011,10,4
A2012/05367,Gadidae,1644.660381,159,57.5667,11.8833,2011,10,4
A2012/05368,Clupeidae,76.04922391,9,57.2667,12.05,2011,11,4
A2012/05368,Gadidae,440.8321517,31,57.2667,12.05,2011,11,4
A2012/05775,Clupeidae,164.0360114,3,58.2037,11.5015,2012,3,1
A2012/05775,Gadidae,41.49429191,1,58.2037,11.5015,2012,3,1
A2012/05775,Gobiidae,17.22584572,1,58.2037,11.5015,2012,3,1
A2013/05252,Gadidae,2410.525881,90,58.3667,11.1883,2013,5,2
A2013/05254,Clupeidae,52.57385233,1,58.77334,11.167586,2020,9,3
A2013/05254,Gadidae,92.23016484,4,58.77334,11.167586,2020,9,3
A2013/05256,Gadidae,2001.472307,191,58.3833,11.2,2012,8,3
A2013/05256,Gobiidae,1.558976021,3,58.3833,11.2,2012,8,3
A2013/05257,Gadidae,68.74776135,4,58.6333,11.2,2013,5,2
A2013/05258,Gadidae,3483.304737,225,58.77334,11.167586,2012,10,4
A2013/05270,Gadidae,55.90384236,13,58.35,11.1667,2013,9,3
A2013/05270,Pleuronectidae,19.16453825,2,58.35,11.1667,2013,9,3
A2013/05494,Gadidae,853.5040524,81,58.641167,11.175383,2013,9,3
A2013/05495,Gadidae,2.956874801,1,58.6418,11.13,2013,9,3
A2013/05496,Anguillidae,47.54932387,3,58.63623333,11.21188333,2013,9,3
A2013/05496,Gadidae,4219.238709,64,58.63623333,11.21188333,2013,9,3
A2013/05496,Gobiidae,5.353402293,4,58.63623333,11.21188333,2013,9,3
A2013/05496,Pleuronectidae,7.720753087,1,58.63623333,11.21188333,2013,9,3
A2013/05497,Clupeidae,517.5108169,12,58.9833,11.1333,2013,9,3
A2013/05497,Gadidae,11.68729386,8,58.9833,11.1333,2013,9,3
A2013/05498,Gadidae,1365.654046,29,58.6628,11.1765,2013,9,3
A2013/05498,Gobiidae,0.035027915,3,58.6628,11.1765,2013,9,3
A2013/05499,Clupeidae,223.7294681,3,58.367,11.1974,2013,9,3
A2013/05501,Clupeidae,649.7296732,6,58.3238,11.2288,2013,9,3
A2013/05502,Gadidae,236.3079701,25,58.6613,11.1808,2013,9,3
A2013/05502,Pleuronectidae,16.52851088,1,58.6613,11.1808,2013,9,3
