Sample ID,Sample from,Subarea,Prey species (Eng),Prey remain,Left otolith,Right otolith,Wear class,n,Magnification,Otolith width lupp,Otolith length lupp,Otolith width (mm),Otolith length  (mm),Prey length measured (cm),Notes,Prey species (Eng),Family,Scientific Name
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,1,1,NA,NA,NA,2.648,3.844,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,1,1,NA,NA,NA,2.485,3.647,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,1,1,NA,NA,NA,2.534,3.612,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,1,1,NA,NA,NA,2.446,3.39,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,1,1,NA,NA,NA,2.853,3.752,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,1,1,NA,NA,NA,2.468,3.367,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,1,1,NA,NA,NA,2.36,3.399,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,1,1,NA,NA,NA,2.553,3.536,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,1,1,NA,NA,NA,2.388,3.441,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,1,1,NA,NA,NA,2.889,3.699,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,1,1,NA,NA,NA,2.409,3.332,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,1,1,NA,NA,NA,2.136,2.891,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,2.621,3.79,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,2.258,3.08,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,2.414,3.421,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,2.443,3.403,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,2.352,3.343,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,2.694,3.918,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,2.306,3.149,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,2.171,3.028,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,2.221,3.215,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,2.469,3.623,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,2.072,2.932,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,2.541,3.43,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,2.417,3.409,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,2.909,3.962,NA,NA,Black Goby,Gobiidae,Gobius niger
