species name (Eng)_maria,species name (Eng),Form_Taxon,Family,Form_Strukture,Goal_unit,Count_variabel,a,b,Min,Max,regression,Formula_Source,Note
Silver Bream,White bream,Abramis bjoerkna,Cyprinidae,Otolith,Lenght (FL),OW,-2.61,8.19,1.3,2.8,Y=a+bX,Leopold et al. (2001),NA
Pogge,Hooknose,Agonus cataphractus,Agonidae,Otolith,Lenght (FL),OW,-2.4,7.44,0.6,2.7,Y=a+bX,Leopold et al. (2001),NA
Lesser Sandeel,Lesser Sandeel,Ammodytes tobianus,Ammodytidae,Otolith,Lenght (FL),OW,0,10.92,0.4,1.9,Y=a+bX,Leopold et al. (2001),NA
Ammodytidae,Ammodytidae,Ammodytidae,Ammodytidae,Otolith,Lenght (FL),OW,-5.81,16.8,0.7,2.6,Y=a+bX,Leopold et al. (2001),Sandeel
Eel,Eel,Anguilla anguilla,Anguillidae,Otolith,Lenght (FL),OW,-14.26,34.67,NA,NA,Y=a+bX,Leopold et al. (2001),NA
Scaldfish,Scaldfish,Arnoglossus laterna,Bothidae,Otolith,Lenght (FL),OW,-1.39,8.14,0.4,2.2,Y=a+bX,Leopold et al. (2001),NA
Garfish,Garfish,Belone belone,Belonidae,Otolith,Lenght (FL),OW,13.06,18.34,1.5,3.5,Y=a+bX,Leopold et al. (2001),NA
Bream ,White bream ,Blicca bjoerkna,Cyprinidae,Otolith,Lenght (FL),OW,-5.98,10.94,NA,NA,Y=a+bX,Leopold et al. (2001),NA
Bothidae,Bothidae,Bothidae,Bothidae,Otolith,Lenght (FL),OW,-1.39,8.14,0.4,2.2,Y=a+bX,Leopold et al. (2001),Arnoglossus laterna
Dragonet,Dragonet,Callionymus lyra,Callionymidae,Otolith,Lenght (FL),OW,-5.19,17.33,NA,NA,Y=a+bX,Leopold et al. (2001),NA
Rock cook,Rock cook,Centrolabrus exoletus,Labridae,Otolith,Lenght (FL),OL,2.89,4.118,1.2,3,Y=a+bX,Härkönen (1986),NA
Five-bearded rockling,Fivebeard rockling,Ciliata mustela,Lotidae,Otolith,Lenght (FL),OL,-7.46,9.229,2.4,4,Y=a+bX,Härkönen (1986),NA
Herring,Herring,Clupea harengus,Clupeidae,Otolith,Lenght (FL),OW,-2.8541,11.779,0.88,2.2,Y=a+bX,Lundström unpublished,NA
Clupeidae,Clupeidae,Clupeidae,Clupeidae,Otolith,Lenght (FL),OW,-3.885,13.715,NA,NA,Y=a+bX,Lundström unpublished,NA
Vendace,Vendace,Coregonus albula,Salmonidae,Otolith,Lenght (FL),OW,-11.931,13.271,2,5.17,Y=a+bX,Lundström unpublished,Whitefish Lundström unpublished
European Whitefish,Whitefish,Coregonus lavaretus,Salmonidae,Otolith,Lenght (FL),OW,-11.931,13.271,2,5.17,Y=a+bX,Lundström unpublished,NA
Cottidae,Cottidae,Cottidae,Cottidae,Otolith,Lenght (FL),OW,-2.44,9,NA,NA,Y=a+bX,Leopold et al. (2001),NA
European bullhead,Bullhead,Cottus gobio,Cottidae,Otolith,Lenght (FL),OW,0,5.46,0.8,1.2,Y=a+bX,Leopold et al. (2001),NA
