species name (Eng)_maria,species name (Eng),Form_Taxon,Family,Form_Strukture,Goal_unit,Count_variabel,a,b,Min,Max,Regression,Source_ref,Notes,
Silver Bream,Silver Bream,Abramis bjoerkna,Cyprinidae,Gillarch,Weight (FW),PL,0.37,3.43,5.2,10.9,Y=(aX)^b,Leopold et al. (2001),NA,
Silver Bream,Silver Bream,Abramis bjoerkna,Cyprinidae,Flesh,Weight (FW),FL,6,3.2303,2,36,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Common Bream,Common Bream,Abramis brama,Cyprinidae,Flesh,Weight (FW),FL,6,3.1773,7.5,69.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Pogge,Hooknose,Agonus cataphractus,Agonidae,Otolith,Weight (FW),OW,1.03,3.77,0.6,2.7,Y=(aX)^b,Leopold et al. (2001),NA,
Pogge,Hooknose,Agonus cataphractus,Agonidae,Flesh,Weight (FW),FL,0.2,2.9,2.5,17.2,Y=(aX)^b,Leopold et al. (2001),,
Common Bleak,Common Bleak,Alburnus alburnus,Cyprinidae,Flesh,Weight (FW),FL,6,3.0695,0.9,19.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Twaite Shad,Twaite Shad,Alosa fallax,Clupeidae,Flesh,Weight (FW),FL,0.19,3.05,8.1,49,Y=(aX)^b,Leopold et al. (2001),,
Ammodytidae,Ammodytidae,Ammodytes,Ammodytidae,Flesh,Weight (FW),FL,2.09,3.069959,,,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Lesser Sandeel,Lesser Sandeel,Ammodytes tobianus,Ammodytidae,Otolith,Weight (FW),OW,1.43,3.28,0.4,1.9,Y=(aX)^b,Leopold et al. (2001),NA,
Lesser Sandeel,Lesser Sandeel,Ammodytes tobianus,Ammodytidae,Flesh,Weight (FW),FL,1,3.4154,,,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Ammodytidae,Ammodytidae,Ammodytidae,Ammodytidae,Otolith,Weight (FW),OW,1.42,3.74,0.7,2.6,Y=(aX)^b,Leopold et al. (2001),Sandeel,
Ammodytidae,Ammodytidae,Ammodytidae,Ammodytidae,Flesh,Weight (FW),FL,2.09,3.069959,,,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Eel,Eel,Anguilla anguilla,Anguillidae,Otolith,Weight (FW),OW,1.82,4.48,0.3,2.6,Y=(aX)^b,Leopold et al. (2001),NA,
European Eel,Eel,Anguilla anguilla,Anguillidae,Flesh,Weight (FW),FL,0.242,3.485,7,98.8,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Scaldfish,Scaldfish,Arnoglossus laterna,Bothidae,Otolith,Weight (FW),OW,1.25,3.75,0.5,2.2,Y=(aX)^b,Leopold et al. (2001),NA,
Scaldfish,Scaldfish,Arnoglossus laterna,Bothidae,Flesh,Weight (FW),FL,0.2,3.14,2.3,16.4,Y=(aX)^b,Leopold et al. (2001),,
Asp,Asp,Aspius aspius,Cyprinidae,Flesh,Weight (FW),FL,2,3.5182,15.5,33,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Garfish,Garfish,Belone belone,Belonidae,Otolith,Weight (FW),OW,3.7,2.73,1.5,3.5,Y=(aX)^b,Leopold et al. (2001),NA,
Garfish,Garfish,Belone belone,Belonidae,Flesh,Weight (FW),FL,0.09,3.28,35.2,79.8,Y=(aX)^b,Leopold et al. (2001),,
Silver Bream,White bream,Blicca bjoerkna,Cyprinidae,Otolith,Weight (FW),OW,1.03,4.52,1.3,2.8,Y=(aX)^b,Leopold et al. (2001),NA,
Bothidae,Bothidae,Bothidae,Bothidae,Otolith,Weight (FW),OW,1.25,3.75,0.5,2.2,Y=(aX)^b,Leopold et al. (2001),Arnoglossus laterna,
Solenette,Solenette,Buglossidium luteum,Soleidae,Flesh,Weight (FW),FL,0.21,3.17,2,13.1,Y=(aX)^b,Leopold et al. (2001),,
Dragonet,Dragonet,Callionymus lyra,Callionymidae,Otolith,Weight (FW),OW,1.84,4.1,0.5,1.9,Y=(aX)^b,Leopold et al. (2001),NA,
Common Dragonet,Dragonet,Callionymus lyra,Callionymidae,Flesh,Weight (FW),FL,18.6,2.62997,,,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Cancer pagurus,Cancer pagurus,Cancer pagurus,#N/A,Flesh,Weight (FW),FL,200,2.8665,8.5,20.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Crucian Carp,Crucian Carp,Carassius carassius,Cyprinidae,Flesh,Weight (FW),FL,16,3.1189,,,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Prussian Carp,Prussian Carp,Carassius gibelio,Cyprinidae,Flesh,Weight (FW),FL,13,3.08,,,W(g)=(a*10^-6* L(cm)^b) *1000,Fishbase,NA,
European Green Crab,European Green Crab,Carcinus maénas,Portunidae,Flesh,Weight (FW),FL,355,2.670791,3.5,7.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Rock cook,Rock cook,Centrolabrus exoletus,Labridae,Otolith,Weight (FW),OL,3.66,2.417,1.2,3,Y=aX^b,Härkönen (1986),NA,
Red Gurnard,Red Gurnard,Chelidonichthys gurnardus,Triglidae,Flesh,Weight (FW),FL,13.5,2.814704,,,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Tub Gurnard,Tub Gurnard,Chelidonichthys lucerna,Triglidae,Flesh,Weight (FW),FL,10,2.9628,,,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Five-bearded rockling,Fivebeard rockling,Ciliata mustela,Lotidae,Otolith,Weight (FW),OW,1.33,4.16,0.4,2.5,Y=(aX)^b,Leopold et al. (2001),NA,
Five-bearded rockling,Fivebeard rockling,Ciliata mustela,Lotidae,Otolith,Weight (FW),OL,0.7,4.14,0.8,4.8,Y=(aX)^b,Leopold et al. (2001),NA,
Five-bearded Rockling,Five-bearded Rockling,Ciliata mustela,Lotidae,Flesh,Weight (FW),FL,4.87,3.140565,12.1,29.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
